idCanton,NombreCanton
1,Central
2,Escazu
3,Desamparados
4,Puriscal
5,Tarrazu
6,Aserri
7,Mora
8,Goicoechea
9,Santa Ana
10,Alajuelita
11,Vazquez De Coronado
12,Acosta
13,Tibas
14,Moravia
15,Montes De Oca
16,Turrubares
17,Dota
18,Curridabat
19,Parez Zeledon
20,Leon Cortes Castro
21,Alajuela
22,Atenas
23,Grecia
24,Guatuso
25,Los Chiles
26,Naranjo
27,Orotina
28,Palmares
29,Poas
30,Rio Cuarto
31,San Carlos
32,San Mateo
33,San Ramon
34,Sarchi
35,Upala
36,Zarcero
37,Cartago
38,Alvarado
39,El Guarco
40,Jimenez
41,La Union
42,Oreamuno
43,Paraiso
44,Turrialba
45,Heredia
46,Barva
47,Belen
48,Flores
49,San Isidro
50,San Pablo
51,San Rafael
52,Santa Barbara
53,Santo Domingo
54,Sarapiqui
55,Liberia
56,Abangares
57,Bagaces
58,Cañas
59,Carrillo
60,Hojancha
61,La Cruz
62,Nandayure
63,Nicoya
64,Santa Cruz
65,Tilaran
66,Puntarenas
67,Buenos Aires
68,Corredores
69,Coto Brus
70,Esparza
71,Garabito
72,Golfito
73,Montes de Oro
74,Osa
75,Parrita
76,Quepos
77,Limon
78,Guacimo
79,Matina
80,Pococi
81,Siquirres
82,Talamanca
